,Date,In reality,Link,PolitiFact source,Score,Source,Statement
464,"on Monday, April 17th, 2017",Sites slapped a false headline on a true story,/punditfact/statements/2017/apr/17/blog-posting/fake-news-headline-blames-texas-deputys-real-death/,— PunditFact,Pants on Fire!,Bloggers,"""Texas law enforcement officer fatally shot upon arriving for work by 3 Muslim refugee."""
465,"on Friday, April 14th, 2017",Airline contracts set guidelines for removal,/punditfact/statements/2017/apr/14/andrew-napolitano/united-airlines-passenger-had-every-right-stay-pla/,— PunditFact,False,Andrew Napolitano,"A United Airlines passenger forcibly removed from an airplane ""was in his seat, he has every right to stay there."""
466,"on Friday, April 14th, 2017",Barry Soetoro is a myth to inflame conservatives,/punditfact/statements/2017/apr/14/blog-posting/fake-theory-barack-obama-hid-millions-taxpayer-dol/,— PunditFact,Pants on Fire!,Bloggers,"Says President Barack Obama ""tax audit exposes MILLIONS in offshore accounts stolen from taxpayers."""
467,"on Thursday, April 13th, 2017","Actions are correct, quote is not",/punditfact/statements/2017/apr/13/blog-posting/fake-news-story-falsely-quotes-kasich-saying-some-/,— PunditFact,Pants on Fire!,Bloggers,"Says Ohio Gov. John Kasich said, ""If a woman is not intelligent enough to keep her legs closed, how can we entrust the abortion decision to her?"""
468,"on Tuesday, April 11th, 2017",A made-up quote attributed to a supporter,/punditfact/statements/2017/apr/11/blog-posting/evangelical-leader-kenneth-copeland-did-not-threat/,— PunditFact,Pants on Fire!,Bloggers,"""Evangelical leader says those who oppose Trump could be ‘punished’ with gay child."""
469,"on Tuesday, April 11th, 2017",Be careful about clicking,/punditfact/statements/2017/apr/11/countynewsroominfo/fake-news-site-alters-real-story-fiery-car-crash-t/,— PunditFact,False,CountyNewsroom.info,"Says ""2 moms, 5 kids killed in car crash"" in a nearby county."
470,"on Friday, April 7th, 2017",Neither plot nor politicians named exist,/punditfact/statements/2017/apr/07/blog-posting/pair-fake-democratic-congressmen-were-not-arrested/,— PunditFact,Pants on Fire!,Bloggers,"""Two liberal Democrat congressmen arrested for planning Trump’s assassination."""
471,"on Thursday, April 6th, 2017",Murderous myth has evolved over the years,/punditfact/statements/2017/apr/06/blog-posting/story-19-white-women-killed-black-lives-matter-sup/,— PunditFact,Pants on Fire!,Bloggers,"""Police find 19 white female bodies in freezers with ‘Black Lives Matter’ carved into skin."""
472,"on Wednesday, April 5th, 2017",He admits he's changed,/punditfact/statements/2017/apr/05/greta-van-susteren/fact-checking-trump/,— PunditFact,True,Greta Van Susteren,"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed."
473,"on Tuesday, April 4th, 2017",Deaths unconnected to vaccination debate,/punditfact/statements/2017/apr/04/blog-posting/doctors-deaths-were-not-connected-fake-news-websit/,— PunditFact,Pants on Fire!,Bloggers,"""Doctors who discovered cancer enzymes in vaccines all found murdered."""
