,Date,In reality,Link,PolitiFact source,Score,Source,Statement
982,"on Sunday, June 8th, 2014",Number based on projection for teens in 2016,/punditfact/statements/2014/jun/08/katrina-vanden-heuvel/vanden-heuvel-1-out-10-minimum-wage-workers-today-/,— PunditFact,False,Katrina vanden Heuvel,"""Only one out of 10 minimum wage workers today are teen age or a young person."""
983,"on Sunday, June 8th, 2014","Israel's 1,000-for-1 trade came in 2011",/punditfact/statements/2014/jun/08/charles-krauthammer/did-israel-trade-1000-prisoners-one/,— PunditFact,True,Charles Krauthammer,"The Israelis ""gave up 1,000 terrorists in return for one sergeant."""
984,"on Thursday, June 5th, 2014",Reporter who wrote the now-debunked story says it didn't come from the Pentagon,/punditfact/statements/2014/jun/05/rachel-maddow/maddow-pentagon-made-story-jessica-lynchs-heroism/,— PunditFact,False,Rachel Maddow,"""The Pentagon made up"" the since-debunked heroics of POW Jessica Lynch as she tried to avoid capture in Iraq."
985,"on Thursday, June 5th, 2014","He was never president, she never said he was",/punditfact/statements/2014/jun/05/facebook-posts/did-michele-bachmann-say-country-could-use-preside/,— PunditFact,Pants on Fire!,Facebook posts,"Says Michele Bachmann said on Fox News, ""This country could use a president like Benjamin Franklin again."""
986,"on Wednesday, June 4th, 2014","A neutral term, at best",/punditfact/statements/2014/jun/04/pete-hegseth/pundit-claims-redskins-historically-used-term-resp/,— PunditFact,Mostly False,Pete Hegseth,"Redskins is ""used historically"" as ""a term of respect."""
987,"on Tuesday, June 3rd, 2014",On the decline since 1999,/punditfact/statements/2014/jun/03/david-frum/david-frum-us-executions-have-dropped-nearly-two-t/,— PunditFact,Mostly True,David Frum,"""We’ve seen a remarkable reduction in the number of Americans being executed -- it’s down nearly two-thirds over the past generation."""
988,"on Tuesday, June 3rd, 2014",Not necessarily the best company,/punditfact/statements/2014/jun/03/bill-maher/maher-us-ranks-fifth-world-number-executions/,— PunditFact,Mostly True,Bill Maher,"""We're fifth in the world (in executions), behind China, Iran, Iraq and Saudi Arabia."""
989,"on Monday, June 2nd, 2014",Most Qataris have jobs,/punditfact/statements/2014/jun/02/jeremy-schaap/espns-schaap-qataris-dont-need-work/,— PunditFact,False,Jeremy Schaap,"""Qataris don't really work."""
990,"on Sunday, June 1st, 2014",Not expressly her opinion,/punditfact/statements/2014/jun/01/chris-wallace/chris-wallace-hillary-clinton-defended-syrias-assa/,— PunditFact,Half-True,Chris Wallace,"Says Hillary Clinton ""defended Syria’s President Assad as a possible reformer at the start of that country’s civil war."""
991,"on Wednesday, May 28th, 2014","By most measures, the rate remains the same",/punditfact/statements/2014/may/28/pierre-thomas/abcs-thomas-mass-shootings-have-tripled-2000/,— PunditFact,Mostly False,Pierre Thomas,"From 2000 to 2008, we averaged ""about five mass shootings a year. We're now averaging 15. So that's a three-fold increase."""
992,"on Wednesday, May 28th, 2014",The zombie plans that aren't,/punditfact/statements/2014/may/28/sarah-palin/sarah-palin-federal-government-spending-tax-money-/,— PunditFact,False,Sarah Palin,"""As unbelievable as it sounds, your tax dollars are funding the federal government's Zombie Apocalypse Plan. I kid you not."""
993,"on Friday, May 23rd, 2014",Everyday high subsidies?,/punditfact/statements/2014/may/23/ed-schultz/ed-schultz-says-walmart-workers-rely-5800-public-a/,— PunditFact,Mostly False,Ed Schultz,"Walmart employees receive ""roughly $5,800"" in public assistance per year."
994,"on Thursday, May 22nd, 2014",Fundamentally different designs,/punditfact/statements/2014/may/22/kimberly-guilfoyle/guilfoyle-obamacare-one-big-fat-va/,— PunditFact,Pants on Fire!,Kimberly Guilfoyle,"Obamacare is ""one big fat VA system."""
995,"on Wednesday, May 21st, 2014",Funding has gone up,/punditfact/statements/2014/may/21/katrina-vanden-heuvel/katrina-vanden-heuvel-says-congress-has-slashed-fu/,— PunditFact,False,Katrina vanden Heuvel,"""Congress has cut funding, has slashed funding, for veterans' benefits over these last years."""
996,"on Tuesday, May 20th, 2014",Obama quiet since April 28,/punditfact/statements/2014/may/20/major-garrett/garrett-va-troubles-nothing-public-obama-3-weeks/,— PunditFact,True,Major Garrett,"""It's been nearly three weeks since the president has commented"" on questions about possible hidden wait lists at veterans hospitals."
997,"on Tuesday, May 20th, 2014",Smart gun misfire,/punditfact/statements/2014/may/20/larry-pratt/larry-pratt-smart-gun-fails-20-percent/,— PunditFact,False,Larry Pratt,"""20 percent of the time (smart guns) won't work."""
998,"on Monday, May 19th, 2014",The Pentagon wanted the change,/punditfact/statements/2014/may/19/dick-cheney/cheney-mere-request-putin-obama-ditched-eastern-eu/,— PunditFact,Mostly False,Dick Cheney,"""At the mere request from Putin, President Obama withdrew the plans for a missile defense program based in Poland and the Czech Republic."""
999,"on Monday, May 19th, 2014",Moves were largely non-military,/punditfact/statements/2014/may/19/dick-cheney/cheney-bush-admin-did-more-help-georgia-obama-has-/,— PunditFact,Half-True,Dick Cheney,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies."""
1000,"on Sunday, May 18th, 2014",Not by the nation's biggest media outlets,/punditfact/statements/2014/may/18/brit-hume/brit-hume-media-overlooked-terrible-concussion-com/,— PunditFact,False,Brit Hume,"The media ""widely overlooked"" comments made by former President Bill Clinton that Hillary Clinton had a terrible concussion that took six months to recover from."
1001,"on Friday, May 16th, 2014","Not a universal translation, interpretation",/punditfact/statements/2014/may/16/sean-hannity/sean-hannity-koran-says-dont-take-christians-and-j/,— PunditFact,Half-True,Sean Hannity,"""When you read the Koran, it talks about don't take Christians and Jews as your friends."""
1002,"on Wednesday, May 14th, 2014",So you're saying a lot of Kentucky won't see this,/punditfact/statements/2014/may/14/john-oliver/john-oliver-says-28-percent-kentucky-internet/,— PunditFact,Half-True,John Oliver,"""28 percent of Kentuckians don’t have any online access."""
1003,"on Wednesday, May 14th, 2014",Has a fuzzy view of the facts,/punditfact/statements/2014/may/14/karl-rove/rove-clinton-hospital-stay-and-glasses-point-traum/,— PunditFact,False,Karl Rove,"Says Hillary Clinton spent 30 days in the hospital in 2012 and appeared ""wearing glasses that are only for people who have traumatic brain injury."""
1004,"on Tuesday, May 13th, 2014","Reports blame management failures, not money woes",/punditfact/statements/2014/may/13/ronan-farrow/ronan-farrow-says-inadequate-security-funding-cong/,— PunditFact,Mostly False,Ronan Farrow,"Congress' decision to ""spend less around the world"" on embassy security contributed to ""tragedies"" like Benghazi."
1005,"on Tuesday, May 13th, 2014",There has been wandering -- back and forth,/punditfact/statements/2014/may/13/joe-scarborough/scarborough-americans-cooled-climate-change/,— PunditFact,Half-True,Joe Scarborough,"Americans ""bought into climate change"" in 2004-06, but then most ""began wandering away from this issue."""
1006,"on Sunday, May 11th, 2014",A shadowy claim,/punditfact/statements/2014/may/11/george-will/george-will-incandescent-light-bulb-has-no-effect-/,— PunditFact,False,George Will,"The incandescent light bulb ""has no effect whatever on the planet."""
1007,"on Sunday, May 11th, 2014",CBO's best guess,/punditfact/statements/2014/may/11/rick-santorum/rick-santorum-minimum-wage-increase-would-cost-500/,— PunditFact,Mostly True,Rick Santorum,"The CBO says that if you raise the minimum wage to $10.10 an hour, ""half a million people would lose their jobs."""
1008,"on Wednesday, May 7th, 2014",Data for more than 1 state hard to find,/punditfact/statements/2014/may/07/van-jones/van-jones-some-states-black-defendants-are-three-t/,— PunditFact,Half-True,Van Jones,"In some states, African-Americans are three times more likely to be sentenced to death than whites for the same crime."
1009,"on Tuesday, May 6th, 2014",'M*A*S*H' star needs to triage this claim,/punditfact/statements/2014/may/06/wayne-rogers/former-mash-star-obama-lied-200-times/,— PunditFact,Pants on Fire!,Wayne Rogers,"""There are over 200 documented cases where (Obama) has lied."""
1010,"on Monday, May 5th, 2014",Good Samaritans took Stevens to the hospital,/punditfact/statements/2014/may/05/laura-ingraham/ingraham-recycles-incorrect-benghazi-claim/,— PunditFact,False,Laura Ingraham,"After the attack on a U.S. diplomatic mission in Benghazi, Libya, ""the ambassador's body was dragged through the street."""
1011,"on Sunday, May 4th, 2014",He shoots and he misses a bit,/punditfact/statements/2014/may/04/kareem-abdul-jabbar/nba-legend-abdul-jabbar-more-whites-believe-ghosts/,— PunditFact,Mostly False,Kareem Abdul-Jabbar,"""More whites believe in ghosts than believe in racism."""
1012,"on Sunday, May 4th, 2014","Rice avoided 't' word, downplayed connection",/punditfact/statements/2014/may/04/cokie-roberts/cokie-roberts-susan-rice-didnt-put-whole-benghazi-/,— PunditFact,Mostly False,Cokie Roberts,"In discussing the attacks on the U.S. consulate in Benghazi, Libya, ""Ms. Rice did say 'a terrorist attack.' It’s not that she put the whole thing on the video."""
1013,"on Thursday, May 1st, 2014",There is no 'scarlet' bracelet,/punditfact/statements/2014/may/01/sarah-palin/sarah-palin-eric-holder-wants-gun-owners-wear-id-b/,— PunditFact,False,Sarah Palin,"Says Attorney General Eric Holder recently revealed ""this idea to have government have gun owners wear special bracelets that would identify you as a gun owner."""
1014,"on Thursday, May 1st, 2014","You need to look further back, like 1910",/punditfact/statements/2014/may/01/dana-perino/perino-faults-enviros-mega-fires/,— PunditFact,Mostly False,Dana Perino,"""A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists."""
1015,"on Tuesday, April 29th, 2014",Some = Oprah,/punditfact/statements/2014/apr/29/rush-limbaugh/limbaugh-some-wealthiest-americans-are-african-ame/,— PunditFact,False,Rush Limbaugh,"""Some of the wealthiest Americans are African-American now."""
1016,"on Monday, April 28th, 2014",Update: Drudge deletes incorrect tweet about 29 hours later,/punditfact/statements/2014/apr/28/drudge-report/drudge-says-clippers-owner-democrat/,— PunditFact,Pants on Fire!,Drudge Report,"Says Los Angeles Clippers owner Donald ""Sterling is a Democrat."""
1017,"on Monday, April 28th, 2014",He must be reading some other constitution,/punditfact/statements/2014/apr/28/andrew-napolitano/napolitano-washington-lacks-constitutional-right-o/,— PunditFact,Pants on Fire!,Andrew Napolitano,"""The Constitution simply does not authorize the federal government to own any of this land (in the Western states)."""
1018,"on Sunday, April 27th, 2014",Wealth gap may be even wider,/punditfact/statements/2014/apr/27/alicia-menendez/menendez-white-family-likely-have-6-times-much-wea/,— PunditFact,True,Alicia Menendez,"""A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession."""
1019,"on Sunday, April 27th, 2014",A flat recovery for most Americans,/punditfact/statements/2014/apr/27/neera-tanden/tanden-95-percent-income-gains-last-few-years-have/,— PunditFact,Mostly True,Neera Tanden,"""95 percent of the income gains in the last few years have gone to the top 1 percent."""
1020,"on Friday, April 25th, 2014",The quote came from an adviser to Gov. Rick Scott,/punditfact/statements/2014/apr/25/msnbc/msnbc-labels-florida-republican-charlie-crist-advi/,— PunditFact,Pants on Fire!,MSNBC,"Says Charlie Crist's campaign bashed Sen. Bill Nelson's ""big-government solutions."""
1021,"on Thursday, April 24th, 2014",Lots of bull here,/punditfact/statements/2014/apr/24/blog-posting/did-sen-harry-reid-drive-standoff-bundy-ranch-pers/,— PunditFact,Pants on Fire!,Bloggers,"The Bundy Ranch deal is all about Nevada Sen. Harry Reid ""using federal violence to take people’s land in his state so he can package it to re-sell it to the Chinese."""
1022,"on Thursday, April 24th, 2014",Bill does not mandate solar fine,/punditfact/statements/2014/apr/24/rachel-maddow/rachel-maddow-unleashes-oklahomas-sun-tax-misses-c/,— PunditFact,Mostly False,Rachel Maddow,"""Oklahoma’s Republican Gov. Mary Fallin signed a new law which makes you pay a special fee. It will essentially fine people for the crime of using solar power."""
1023,"on Wednesday, April 23rd, 2014",Not all the money is Kochs' but they have a hand in it,/punditfact/statements/2014/apr/23/doonesbury/doonesbury-says-koch-brothers-outspent-unions-3-1/,— PunditFact,Half-True,Doonesbury,"Last election, the Koch brothers ""spent three times what the top 10 unions spent combined."""
1024,"on Tuesday, April 22nd, 2014","Research shows gay, straight parents equally nurturing",/punditfact/statements/2014/apr/22/ralph-reed/ralph-reed-says-irrefutable-social-science-shows-k/,— PunditFact,False,Ralph Reed,"""Social science is irrefutable"" that children are better off being raised by a mom and a dad."
1025,"on Tuesday, April 22nd, 2014",Liberals have the same gripe,/punditfact/statements/2014/apr/22/todd-starnes/radio-host-only-conservatives-get-banned-facebook/,— PunditFact,False,Todd Starnes,"Liberals have figured out a Facebook algorithm and ""all the people getting banned from Facebook are somehow conservatives."""
1026,"on Monday, April 21st, 2014",Online shopping cart analogy doesn't work,/punditfact/statements/2014/apr/21/donald-trump/trump-putting-plan-online-shopping-cart-all-it-tak/,— PunditFact,False,Donald Trump,"""ObamaCare enrollment lie: Obama counts an enrollee as a web user putting a plan in ‘their online shopping carts.’"""
1027,"on Thursday, April 17th, 2014",A stretch by most definitions,/punditfact/statements/2014/apr/17/nia-malika-henderson/msnbc-guest-says-democrats-are-pocket-nra/,— PunditFact,Mostly False,Nia-Malika Henderson,"""Democrats very much are in the pocket of the NRA."""
1028,"on Thursday, April 17th, 2014","White men yes, but most fall in the middle",/punditfact/statements/2014/apr/17/michael-eric-dyson/dyson-conservative-white-men-dominate-sunday-talk-/,— PunditFact,Mostly False,Michael Eric Dyson,"""We know that Sunday mornings have usually been given over to conservative white men."""
1029,"on Wednesday, April 16th, 2014","Close, but not exactly",/punditfact/statements/2014/apr/16/anissa-naouai/rt-anchor-says-us-spends-big-military/,— PunditFact,Half-True,Anissa Naouai,"""The U.S. spends more money on its military than the 16 biggest military budgets in the world"" combined."
1030,"on Tuesday, April 15th, 2014",Don't downplay the feds,/punditfact/statements/2014/apr/15/jim-demint/demint-people-faith-did-more-end-slavery-federal-g/,— PunditFact,Mostly False,Jim DeMint,"""A lot of the move to free the slaves ... did not come from the federal government. It came from a growing movement among the people, particularly people of faith."""
1031,"on Sunday, April 13th, 2014",Jumps the gun. Numbers aren't in yet.,/punditfact/statements/2014/apr/13/james-carville/carville-insurance-risk-corridors-arent-going-brok/,— PunditFact,Mostly False,James Carville,The insurance risk corridors aren't going broke like Republicans predicted.
1032,"on Sunday, April 13th, 2014",UPDATE: Ingraham responds,/punditfact/statements/2014/apr/13/laura-ingraham/ingraham-obamacare-costing-2-million-jobs/,— PunditFact,Mostly False,Laura Ingraham,"Obamacare is ""costing 2 million jobs."""
1033,"on Thursday, April 10th, 2014",She said what?,/punditfact/statements/2014/apr/10/facebook-posts/facebook-post-says-michele-bachmann-said-we-have-z/,— PunditFact,Pants on Fire!,Facebook posts,Says Rep. Michele Bachmann said President Barack Obama might be to blame for the Fort Hood shootings.
1034,"on Thursday, April 10th, 2014",Not giving full picture,/punditfact/statements/2014/apr/10/john-e-sununu/john-sununu-says-just-14-million-americans-insured/,— PunditFact,False,John E. Sununu,"The health care law reduces ""the number of uninsured in America by 3 percent for how much money? $2 trillion."""
1035,"on Thursday, April 10th, 2014","1st rule of data: Garbage in, garbage out",/punditfact/statements/2014/apr/10/dick-morris/dick-morris-theres-proof-over-1-million-people-vot/,— PunditFact,False,Dick Morris,"A North Carolina study proves that ""probably over a million people voted twice in (the 2012) election."""
1036,"on Thursday, April 10th, 2014",It's happened only twice,/punditfact/statements/2014/apr/10/joe-scarborough/how-rare-it-we-had-three-presidents-re-elected-con/,— PunditFact,True,Joe Scarborough,"Before ""our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected."""
1037,"on Wednesday, April 9th, 2014",Young women more likely to finish college,/punditfact/statements/2014/apr/09/genevieve-wood/what-pay-gap-young-women-out-earn-men-cities-gop-p/,— PunditFact,Mostly True,Genevieve Wood,"""Young women today in metropolitan areas"" who are childless and single are out-earning childless, single young males."
1038,"on Wednesday, April 9th, 2014","Numbers are right, but as an attack on Obama, it rings hollow",/punditfact/statements/2014/apr/09/eric-bolling/fox-news-eric-bolling-says-61-percent-new-jobs-und/,— PunditFact,Half-True,Eric Bolling,"""Of all the jobs President Obama claims to have created since he started, only 38.5 percent are women. So 61.5 percent have gone to men."""
1039,"on Wednesday, April 9th, 2014",Pollution is pollution even if it's legal ,/punditfact/statements/2014/apr/09/bob-beckel/bob-beckel-koch-brothers-are-one-biggest-polluters/,— PunditFact,True,Bob Beckel,"""The Koch brothers are one of the biggest polluters in the country."""
1040,"on Sunday, April 6th, 2014",Not seeing steady drops,/punditfact/statements/2014/apr/06/liz-cheney/liz-cheney-people-support-obamacare-have-been-stea/,— PunditFact,False,Liz Cheney,"""The numbers of people that support Obamacare and like it have been steadily dropping."""
1041,"on Friday, April 4th, 2014",Easy peesy? Not really.,/punditfact/statements/2014/apr/04/charles-krauthammer/charles-krauthammer-anyone-can-get-out-individual-/,— PunditFact,Mostly False,Charles Krauthammer,"""If you want out of the individual mandate... all you have to do now is tick off the box that says 'hardship' and you're out."""
1042,"on Thursday, April 3rd, 2014","Small, but not that small",/punditfact/statements/2014/apr/03/heather-mcghee/heather-mcghee-less-1-1-give-200-or-more-campaigns/,— PunditFact,Mostly False,Heather McGhee,"""Less than 1 percent of 1 percent of the American population has given an amount over $200"" to a federal political campaign."
1043,"on Wednesday, April 2nd, 2014",She's pretty close,/punditfact/statements/2014/apr/02/cokie-roberts/cokie-roberts-two-thirds-minimum-wage-earners-are-/,— PunditFact,Mostly True,Cokie Roberts,"""Two-thirds of the people who receive the minimum wage are female."""
1044,"on Tuesday, April 1st, 2014","NCAA rakes it in, but players get more than just bling",/punditfact/statements/2014/apr/01/arian-foster/arian-foster-ncaa-gets-billions-players-get-trophi/,— PunditFact,Half-True,Arian Foster,"The NCAA will ""get billions"" from the men’s basketball tournament. ""Players get a trophy."""
1045,"on Monday, March 31st, 2014","(Trial) location, location, location",/punditfact/statements/2014/mar/31/nancy-grace/nancy-grace-talks-oscar-pistorious-trial-could-pre/,— PunditFact,Mostly False,Nancy Grace,"Premeditation, in murder cases like the Oscar Pistorius case, ""can be formed in the twinkling of an eye."""
1046,"on Sunday, March 30th, 2014",Though there are multiple views of the data,/punditfact/statements/2014/mar/30/steven-rattner/rattner-manufacturing-wages-today-america-lower-av/,— PunditFact,Mostly True,Steven Rattner,"""Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole."""
1047,"on Sunday, March 30th, 2014",Christie and report author seem to think it's conclusive,/punditfact/statements/2014/mar/30/rudy-giuliani/giuliani-no-one-says-bridge-report-vindicates-new-/,— PunditFact,Mostly False,Rudy Giuliani,"""No one"" claims the report vindicating New Jersey Gov. Chris Christie in the bridge scandal is ""conclusive."""
1048,"on Friday, March 28th, 2014",Health care wackiness: prices ≠ costs,/punditfact/statements/2014/mar/28/ed-schultz/ed-schultz-obamacare-driving-costs-down/,— PunditFact,Mostly False,Ed Schultz,"Health insurance and medical costs ""are going down because of Obamacare."""
1049,"on Wednesday, March 26th, 2014",His source focused on a different question,/punditfact/statements/2014/mar/26/rich-lowry/were-most-obamacare-sign-ups-people-who-had-insura/,— PunditFact,Mostly False,Rich Lowry,"Most of the people who have signed up through the Obamacare exchanges ""already had insurance."""
1050,"on Monday, March 24th, 2014","Yeah, this happened",/punditfact/statements/2014/mar/24/ilyse-hogue/look-medicares-grossly-excessive-spending-penis-pu/,— PunditFact,Mostly True,Ilyse Hogue,"""Medicare has spent $172 million on penis pumps in the last five years at $360 a pop."""
1051,"on Sunday, March 23rd, 2014","Troubling stat, but it's outdated",/punditfact/statements/2014/mar/23/matt-damon/matt-damon-every-20-seconds-child-dies-because-the/,— PunditFact,Half-True,Matt Damon,"""Every 20 seconds, a child dies because they lack access to clean water and sanitation."""
1052,"on Sunday, March 23rd, 2014",New defense systems still coming,/punditfact/statements/2014/mar/23/mitt-romney/romney-obama-stopped-missile-defense-shield-gift-r/,— PunditFact,Half-True,Mitt Romney,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia."""
1053,"on Thursday, March 20th, 2014","Debunked in moments, but lives on for Drudge",/punditfact/statements/2014/mar/20/drudge-report/drudge-links-report-claiming-white-house-press-bri/,— PunditFact,Pants on Fire!,Drudge Report,"""Reporters rehearse questions with White House press (secretary)."""
1054,"on Wednesday, March 19th, 2014",Listen more closely,/punditfact/statements/2014/mar/19/facebook-posts/united-states-spent-5-billion-ukraine-anti-governm/,— PunditFact,Pants on Fire!,Facebook posts,"President Barack Obama spent ""$5 billion paying Ukrainians to riot and dismantle their democratically elected government."""
1055,"on Wednesday, March 19th, 2014",Over-spinning a more nuanced reaction by Bush,/punditfact/statements/2014/mar/19/karl-rove/karl-rove-says-george-w-bush-had-more-muscular-sta/,— PunditFact,Mostly False,Karl Rove,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia."
1056,"on Wednesday, March 19th, 2014","Crimea accounted for most, but not all, of ex-president's margin",/punditfact/statements/2014/mar/19/karl-rove/karl-rove-says-crimea-annexation-removes-viktor-ya/,— PunditFact,Mostly True,Karl Rove,"Russian annexation of Crimea ""removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election."""
1057,"on Tuesday, March 18th, 2014","Time to review your notes, judge",/punditfact/statements/2014/mar/18/andrew-napolitano/napolitano-lincoln-tried-arm-slaves/,— PunditFact,Pants on Fire!,Andrew Napolitano,"Says President Abraham Lincoln ""tried to arm the slaves."""
1058,"on Tuesday, March 18th, 2014",His dates are wrong along with most everything else,/punditfact/statements/2014/mar/18/andrew-napolitano/napolitano-lincoln-enforced-fugitive-slave-act/,— PunditFact,Mostly False,Andrew Napolitano,Says President Abraham Lincoln enforced the Fugitive Slave Act until the Civil War ended.
1059,"on Tuesday, March 18th, 2014",The numbers don't back this up,/punditfact/statements/2014/mar/18/jon-stewart/jon-stewart-slave-trade-caused-5-million-deaths/,— PunditFact,False,Jon Stewart,"The American slave trade caused 5 million deaths ""or more."""
1060,"on Tuesday, March 18th, 2014",Money couldn't buy off the slave owners,/punditfact/statements/2014/mar/18/jon-stewart/jon-stewart-lincoln-tried-buy-slaves-free-them/,— PunditFact,True,Jon Stewart,"Says Abraham Lincoln tried to buy slaves' freedom in border states, but the states ""all rejected it."""
1061,"on Monday, March 17th, 2014",1998 is convenient starting point,/punditfact/statements/2014/mar/17/patrick-moore/climate-change-skeptic-patrick-moore-says-earth-ha/,— PunditFact,Mostly False,Patrick Moore,"Earth ""has not warmed for the last 17 years."""
1062,"on Sunday, March 16th, 2014","Yes, but it's not a top priority",/punditfact/statements/2014/mar/16/katrina-vanden-heuvel/do-most-americans-favor-hike-minimum-wage/,— PunditFact,True,Katrina vanden Heuvel,"""The majority support (raising) the minimum wage."""
1063,"on Thursday, March 13th, 2014","On the record, it doesn't hold up",/punditfact/statements/2014/mar/13/michael-reagan/ronald-reagans-son-says-his-father-got-saudis-pump/,— PunditFact,Mostly False,Michael Reagan,"Says Ronald Reagan ""got the Saudis to flood the market with cheap oil."""
1064,"on Wednesday, March 12th, 2014",A reach is right,/punditfact/statements/2014/mar/12/rush-limbaugh/rush-limbaugh-says-barack-obama-turned-nasa-muslim/,— PunditFact,False,Rush Limbaugh,"President Barack Obama shut down NASA space flights and turned the agency ""into a Muslim outreach department."""
1065,"on Tuesday, March 11th, 2014","Less than seniors, about the same as boomers",/punditfact/statements/2014/mar/11/ralph-reed/ralph-reed-millennials-more-pro-life-boomers-or-se/,— PunditFact,False,Ralph Reed,"Millennials are ""more pro-life than baby boomers and older Americans."""
1066,"on Sunday, March 9th, 2014","Actually, a lot of allies balked",/punditfact/statements/2014/mar/09/dick-cheney/cheney-says-lots-allies-backed-syrian-air-strike/,— PunditFact,Mostly False,Dick Cheney,"On Syria, ""a lot of the allies signed on. At the last minute, Obama backed off."""
1067,"on Thursday, March 6th, 2014","Famous line ""often misquoted,"" scholars say",/punditfact/statements/2014/mar/06/john-bolton/did-vladimir-putin-call-breakup-ussr-greatest-geop/,— PunditFact,Mostly True,John Bolton,"Says Vladimir Putin once said, ""The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century."""
1068,"on Wednesday, March 5th, 2014",Crimea marched to a different legal drummer,/punditfact/statements/2014/mar/05/russia-today/russia-backed-american-news-network-offers-its-ow/,— PunditFact,Half-True,Russia Today,"The new Ukrainian government ""introduced a law abolishing the use of languages other than Ukrainian in official circumstances."""
1069,"on Tuesday, March 4th, 2014","They are wearing uniforms, but with no markings",/punditfact/statements/2014/mar/04/chris-matthews/hardball-host-chris-matthews-says-russian-troops-a/,— PunditFact,Mostly True,Chris Matthews,"""The Russians didn’t wear uniforms when they came in"" to Ukraine."
1070,"on Tuesday, March 4th, 2014","Palin warned of an invasion, but the Obama ties are fuzzy",/punditfact/statements/2014/mar/04/sarah-palin/palin-i-predicted-obama-win-would-trigger-russian-/,— PunditFact,Half-True,Sarah Palin,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine."
1071,"on Monday, March 3rd, 2014","A credible estimate, though hard numbers obviously are hard to find",/punditfact/statements/2014/mar/03/steve-mcqueen/director-steve-mcqueen-dedicated-his-oscar-21-mill/,— PunditFact,Mostly True,Steve McQueen,"Says 21 million people ""still suffer slavery today."""
1072,"on Sunday, March 2nd, 2014",Does Russia want its gift back?,/punditfact/statements/2014/mar/02/david-ignatius/historical-claim-shows-why-crimea-matters-russia/,— PunditFact,True,David Ignatius,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people."""
1073,"on Thursday, February 27th, 2014",He must be deep undercover,/punditfact/statements/2014/feb/27/ted-nugent/ted-nugent-cnn-i-conduct-federal-raids-dea-and-atf/,— PunditFact,Pants on Fire!,Ted Nugent,"""I've been a cop in Lake County, Michigan, since 1982 thereabout. I conduct federal raids with the DEA and ATF and U.S. Marshals and the FBI and Texas Rangers."""
1074,"on Tuesday, February 25th, 2014",Or how a misreading of a poll can take over the Internet,/punditfact/statements/2014/feb/25/blog-posting/do-71-percent-obama-voters-regret-voting-him-2012-/,— PunditFact,Pants on Fire!,Bloggers,A YouGov.com poll shows 71 percent of Obama voters regret voting for him.
1075,"on Sunday, February 23rd, 2014",Chained CPI will save the government money,/punditfact/statements/2014/feb/23/david-brooks/chained-cpi-and-what-it-means-federal-budget/,— PunditFact,Half-True,David Brooks,"""Chained CPI would save $1 trillion in the second decade off the federal budget debt,"" a report shows."
1076,"on Sunday, February 23rd, 2014",Georgia came before Ukraine,/punditfact/statements/2014/feb/23/bill-kristol/bill-kristol-says-ukraines-2004-revolution-was-fir/,— PunditFact,False,Bill Kristol,"The Ukraine Orange Revolution in 2004 ""was the first color revolution."""
1077,"on Thursday, February 20th, 2014","Right report, wrong policy",/punditfact/statements/2014/feb/20/kai-ryssdal/marketplace-host-kai-ryssdal-talks-cbo-report-mini/,— PunditFact,False,Kai Ryssdal,"A Congressional Budget Office report says President Barack Obama’s executive order to raise the minimum wage for new federal contract workers ""will cost the economy 500,000 jobs."""
1078,"on Wednesday, February 19th, 2014",A bumpy ride in the air is okay; not on the ground,/punditfact/statements/2014/feb/19/rachel-maddow/msnbcs-maddow-earthquakes-led-texas-airport-close-/,— PunditFact,True,Rachel Maddow,"""When the Dallas/Fort Worth Airport needed to stop its earthquake spike a few years ago, they temporarily shut down the wells that were injecting fracking fluid into the ground ... (and) those earthquakes stopped."""
1079,"on Wednesday, February 19th, 2014",Christie says process was fair,/punditfact/statements/2014/feb/19/lawrence-odonnell/lawrence-odonnell-says-chris-christie-steered-6-mi/,— PunditFact,Mostly True,Lawrence O'Donnell,"Chris Christie ""helped funnel $6 million in federal Hurricane Sandy money to a senior center in Belleville, N.J., a place that suffered no damage."""
